Bath Temp. (C)	Shape Temp. (C)	Shape 2 Temp. (C)	Elapsed Time (S)
54.1	4.9	-66041.3	0.00
54.1	4.9	-66041.3	0.28
54.1	4.9	-66041.3	0.56
54.1	4.9	-66041.3	0.85
54.1	4.9	-66041.2	1.13
54.1	4.9	-66041.2	1.41
54.1	4.9	-66041.2	1.69
54.1	4.9	-66041.2	1.97
54.1	4.9	-66041.1	2.26
54.1	4.9	-66041.1	2.54
54.1	4.9	-66041.0	2.82
54.1	4.9	-66041.1	3.10
54.1	4.9	-66041.1	3.38
54.1	4.9	-66041.0	3.67
54.1	4.9	-66041.0	3.95
54.1	4.9	-66040.9	4.23
54.1	4.9	-66040.9	4.51
54.1	5.0	-66040.8	4.79
54.1	5.1	-66040.8	5.08
54.1	5.2	-66040.8	5.36
54.1	5.5	-66040.7	5.64
54.1	5.8	-66040.7	5.92
54.1	6.2	-66040.7	6.20
54.1	6.8	-66040.6	6.49
54.1	7.4	-66040.5	6.77
54.1	8.0	-66040.6	7.05
54.1	8.7	-66040.4	7.33
54.1	9.4	-66040.4	7.61
54.1	10.2	-66040.4	7.90
54.1	10.9	-66040.3	8.18
54.1	11.7	-66040.2	8.46
54.1	12.5	-66040.2	8.74
54.1	13.2	-66040.1	9.02
54.1	14.0	-66040.0	9.30
54.1	14.8	-66040.1	9.59
54.1	15.5	-66039.9	9.87
54.1	16.3	-66039.8	10.15
54.1	17.1	-66039.9	10.43
54.1	17.8	-66039.8	10.71
54.1	18.6	-66039.8	11.00
54.1	19.3	-66039.6	11.28
54.0	20.1	-66039.5	11.56
54.1	20.8	-66039.5	11.84
54.1	21.5	-66039.5	12.12
54.1	22.2	-66039.4	12.41
54.1	22.9	-66039.3	12.69
54.1	23.6	-66039.2	12.97
54.0	24.2	-66039.1	13.25
54.1	24.9	-66039.1	13.53
54.1	25.5	-66039.0	13.82
54.1	26.2	-66038.9	14.10
54.1	26.8	-66038.8	14.38
54.1	27.4	-66038.8	14.66
54.1	28.0	-66038.7	14.94
54.1	28.6	-66038.7	15.23
54.1	29.2	-66038.6	15.51
54.1	29.7	-66038.5	15.79
54.0	30.3	-66038.4	16.07
54.1	30.8	-66038.3	16.35
54.0	31.4	-66038.3	16.63
54.1	31.9	-66038.2	16.92
54.1	32.4	-66038.1	17.20
54.1	32.9	-66038.0	17.48
54.1	33.4	-66038.0	17.76
54.1	33.9	-66037.8	18.05
54.1	34.3	-66037.8	18.33
54.1	34.8	-66037.6	18.61
54.0	35.2	-66037.6	18.89
54.0	35.7	-66037.5	19.17
54.1	36.1	-66037.5	19.45
54.0	36.5	-66037.4	19.74
54.0	37.0	-66037.3	20.02
54.0	37.4	-66037.2	20.30
54.0	37.8	-66037.1	20.58
54.0	38.1	-66037.1	20.86
54.0	38.5	-66036.8	21.15
54.0	38.9	-66036.9	21.43
54.0	39.3	-66036.8	21.71
54.0	39.6	-66036.6	21.99
54.1	39.9	-66036.6	22.27
54.0	40.3	-66036.5	22.56
54.0	40.6	-66036.4	22.84
54.0	40.9	-66036.3	23.12
54.0	41.2	-66036.2	23.40
54.0	41.5	-66036.1	23.68
54.0	41.8	-66036.0	23.97
54.0	42.0	-66035.9	24.25
54.0	42.3	-66035.8	24.53
54.0	42.6	-66035.7	24.81
54.0	42.9	-66035.6	25.09
54.0	43.2	-66035.5	25.38
54.0	43.4	-66035.4	25.66
54.0	43.7	-66035.3	25.94
54.0	43.9	-66035.3	26.22
54.0	44.2	-66035.2	26.50
54.0	44.4	-66035.2	26.78
54.0	44.7	-66034.9	27.07
54.0	44.9	-66034.9	27.35
54.0	45.1	-66034.7	27.63
54.0	45.3	-66034.7	27.91
54.0	45.6	-66034.6	28.19
54.0	45.8	-66034.4	28.48
54.0	46.0	-66034.4	28.76
54.0	46.2	-66034.3	29.04
54.0	46.4	-66034.1	29.32
54.0	46.6	-66034.1	29.60
54.0	46.7	-66034.0	29.89
54.0	46.9	-66033.8	30.17
54.0	47.1	-66033.7	30.45
54.0	47.3	-66033.6	30.73
54.0	47.5	-66033.5	31.01
54.0	47.6	-66033.4	31.30
54.0	47.8	-66033.3	31.58
54.0	47.9	-66033.2	31.86
54.0	48.1	-66033.1	32.14
54.0	48.2	-66033.0	32.42
54.0	48.4	-66032.9	32.70
54.0	48.5	-66032.8	32.99
54.0	48.6	-66032.7	33.27
54.0	48.8	-66032.6	33.55
54.0	48.9	-66032.5	33.83
54.0	49.0	-66032.4	34.11
54.0	49.1	-66032.3	34.40
54.0	49.2	-66032.3	34.68
54.0	49.3	-66032.1	34.96
54.0	49.4	-66032.1	35.24
54.0	49.6	-66031.9	35.53
54.0	49.6	-66031.8	35.81
54.0	49.7	-66031.7	36.09
54.0	49.9	-66031.7	36.37
54.0	49.9	-66031.5	36.65
54.0	50.0	-66031.3	36.93
54.0	50.1	-66031.3	37.22
54.0	50.2	-66031.2	37.50
54.0	50.3	-66031.0	37.78
54.0	50.4	-66031.0	38.06
54.0	50.5	-66030.8	38.34
54.0	50.6	-66030.7	38.63
54.0	50.7	-66030.6	38.91
54.0	50.7	-66030.5	39.19
54.0	50.8	-66030.4	39.47
54.0	50.9	-66030.4	39.75
54.0	51.0	-66030.2	40.04
54.0	51.0	-66030.1	40.32
54.0	51.1	-66030.0	40.60
54.0	51.2	-66029.9	40.88
54.0	51.2	-66029.8	41.16
54.0	51.3	-66029.6	41.44
54.0	51.4	-66029.6	41.73
54.0	51.4	-66029.5	42.01
54.0	51.4	-66029.4	42.29
54.0	51.5	-66029.2	42.57
54.0	51.6	-66029.1	42.85
54.0	51.6	-66029.1	43.14
53.9	51.7	-66029.1	43.42
53.9	51.8	-66028.9	43.70
53.9	51.8	-66028.7	43.98
54.0	51.9	-66028.6	44.26
53.9	51.9	-66028.5	44.55
53.9	51.9	-66028.4	44.83
53.9	52.0	-66028.3	45.11
53.9	52.0	-66028.2	45.39
53.9	52.1	-66028.0	45.67
53.9	52.1	-66028.0	45.96
