Bath Temp. (C)	Shape Temp. (C)	Shape 2 Temp. (C)	Elapsed Time (S)
54.2	5.4	-66055.3	0.00
54.2	5.4	-66055.3	0.28
54.1	5.4	-66055.2	0.56
54.2	5.4	-66055.2	0.85
54.2	5.4	-66055.3	1.13
54.1	5.4	-66055.2	1.41
54.2	5.4	-66055.2	1.69
54.2	5.4	-66055.2	1.97
54.2	5.4	-66055.2	2.26
54.2	5.4	-66055.2	2.54
54.1	5.4	-66055.2	2.82
54.2	5.4	-66055.1	3.10
54.2	5.4	-66055.2	3.38
54.2	5.4	-66055.2	3.67
54.2	5.4	-66055.2	3.95
54.2	5.4	-66055.1	4.23
54.1	5.4	-66055.1	4.51
54.1	5.4	-66055.1	4.79
54.1	5.5	-66055.0	5.08
54.1	5.6	-66055.0	5.36
54.1	5.8	-66055.0	5.64
54.1	6.0	-66054.9	5.92
54.1	6.3	-66054.9	6.20
54.1	6.7	-66055.0	6.49
54.2	7.1	-66054.9	6.77
54.2	7.6	-66054.9	7.05
54.2	8.1	-66054.9	7.33
54.2	8.6	-66054.9	7.61
54.2	9.1	-66054.8	7.90
54.2	9.7	-66054.8	8.18
54.2	10.3	-66054.8	8.46
54.2	10.8	-66054.8	8.74
54.2	11.4	-66054.7	9.02
54.2	12.0	-66054.7	9.31
54.2	12.6	-66054.7	9.59
54.2	13.2	-66054.7	9.87
54.2	13.8	-66054.7	10.15
54.2	14.4	-66054.6	10.43
54.3	15.0	-66054.5	10.71
54.3	15.6	-66054.5	11.00
54.3	16.2	-66054.5	11.28
54.3	16.7	-66054.5	11.56
54.3	17.3	-66054.4	11.84
54.3	17.9	-66054.5	12.12
54.2	18.4	-66054.4	12.41
54.3	19.0	-66054.4	12.69
54.3	19.5	-66054.3	12.97
54.3	20.1	-66054.3	13.25
54.3	20.6	-66054.2	13.53
54.3	21.2	-66054.3	13.82
54.3	21.7	-66054.2	14.10
54.2	22.2	-66054.2	14.38
54.3	22.8	-66054.1	14.66
54.3	23.3	-66054.2	14.94
54.3	23.8	-66054.0	15.22
54.3	24.3	-66054.0	15.51
54.2	24.8	-66053.9	15.79
54.3	25.3	-66053.9	16.07
54.3	25.8	-66053.9	16.35
54.3	26.3	-66053.8	16.63
54.3	26.7	-66053.8	16.92
54.3	27.2	-66053.7	17.20
54.2	27.6	-66053.7	17.48
54.3	28.0	-66053.7	17.76
54.3	28.5	-66053.6	18.05
54.3	28.9	-66053.6	18.33
54.3	29.3	-66053.5	18.61
54.3	29.8	-66053.4	18.89
54.3	30.2	-66053.3	19.17
54.3	30.6	-66053.4	19.45
54.3	31.0	-66053.3	19.74
54.3	31.4	-66053.3	20.02
54.3	31.9	-66053.2	20.30
54.3	32.3	-66053.1	20.58
54.3	32.7	-66053.1	20.86
54.3	33.1	-66053.0	21.15
54.3	33.5	-66052.9	21.43
54.3	33.9	-66052.9	21.71
54.3	34.3	-66052.9	21.99
54.3	34.6	-66052.8	22.27
54.3	35.0	-66052.7	22.56
54.3	35.3	-66052.7	22.84
54.3	35.7	-66052.5	23.12
54.3	36.0	-66052.5	23.40
54.3	36.4	-66052.4	23.68
54.3	36.7	-66052.3	23.97
54.3	37.0	-66052.3	24.25
54.3	37.3	-66052.1	24.53
54.3	37.6	-66052.1	24.81
54.3	37.9	-66052.0	25.09
54.3	38.2	-66052.0	25.38
54.3	38.5	-66051.9	25.66
54.3	38.8	-66051.8	25.94
54.3	39.1	-66051.8	26.22
54.3	39.3	-66051.7	26.50
54.3	39.6	-66051.6	26.79
54.3	39.8	-66051.5	27.07
54.3	40.1	-66051.4	27.35
54.3	40.3	-66051.4	27.63
54.3	40.5	-66051.3	27.91
54.3	40.8	-66051.3	28.20
54.3	41.0	-66051.2	28.48
54.3	41.3	-66051.1	28.76
54.4	41.5	-66051.0	29.04
54.4	41.7	-66050.9	29.32
54.4	41.9	-66050.9	29.60
54.4	42.1	-66050.8	29.89
54.3	42.4	-66050.7	30.17
54.4	42.5	-66050.6	30.45
54.3	42.8	-66050.5	30.73
54.3	42.9	-66050.4	31.01
54.4	43.2	-66050.3	31.30
54.4	43.3	-66050.2	31.58
54.4	43.5	-66050.2	31.86
54.4	43.7	-66050.1	32.14
54.3	43.9	-66050.0	32.42
54.3	44.1	-66049.8	32.71
54.3	44.3	-66049.8	32.99
54.3	44.5	-66049.7	33.27
54.4	44.6	-66049.6	33.55
54.3	44.8	-66049.6	33.83
54.4	45.0	-66049.5	34.12
54.3	45.1	-66049.3	34.40
54.3	45.3	-66049.3	34.68
54.3	45.5	-66049.2	34.96
54.4	45.6	-66049.1	35.24
54.4	45.8	-66049.0	35.53
54.4	45.9	-66048.8	35.81
54.4	46.1	-66048.8	36.09
54.3	46.2	-66048.7	36.37
54.3	46.4	-66048.6	36.65
54.3	46.5	-66048.5	36.94
54.3	46.7	-66048.4	37.22
54.4	46.8	-66048.3	37.50
54.3	46.9	-66048.2	37.78
54.3	47.1	-66048.1	38.06
54.3	47.2	-66048.0	38.35
54.3	47.3	-66047.9	38.63
54.3	47.4	-66047.8	38.91
54.3	47.6	-66047.8	39.19
54.3	47.7	-66047.6	39.47
54.3	47.8	-66047.5	39.76
54.3	48.0	-66047.4	40.04
54.4	48.1	-66047.3	40.32
54.3	48.2	-66047.2	40.60
54.4	48.3	-66047.1	40.88
54.4	48.4	-66047.0	41.16
54.3	48.5	-66046.9	41.45
54.4	48.6	-66046.8	41.73
54.4	48.7	-66046.8	42.01
54.3	48.8	-66046.6	42.29
54.4	48.9	-66046.5	42.57
54.4	49.0	-66046.4	42.86
54.4	49.1	-66046.3	43.14
54.4	49.2	-66046.2	43.42
54.4	49.3	-66046.1	43.70
54.4	49.4	-66046.0	43.98
54.3	49.5	-66045.9	44.27
54.3	49.6	-66045.8	44.55
54.3	49.7	-66045.6	44.83
54.4	49.7	-66045.6	45.11
54.4	49.8	-66045.5	45.39
54.4	49.9	-66045.4	45.68
54.4	50.0	-66045.2	45.96
54.4	50.1	-66045.2	46.24
54.4	50.2	-66045.1	46.52
54.4	50.2	-66044.9	46.80
54.4	50.3	-66044.8	47.09
54.4	50.4	-66044.7	47.37
54.3	50.5	-66044.6	47.65
54.4	50.5	-66044.5	47.93
54.4	50.6	-66044.4	48.21
54.4	50.6	-66044.2	48.50
54.4	50.7	-66044.1	48.78
54.4	50.8	-66044.1	49.06
54.4	50.9	-66043.9	49.34
54.4	50.9	-66043.8	49.62
54.4	51.0	-66043.7	49.91
54.4	51.0	-66043.6	50.19
54.3	51.1	-66043.5	50.47
54.3	51.2	-66043.4	50.75
54.4	51.2	-66043.3	51.03
54.4	51.3	-66043.2	51.31
54.4	51.3	-66043.1	51.60
54.4	51.4	-66043.0	51.88
54.3	51.4	-66042.8	52.16
54.3	51.5	-66042.8	52.44
54.3	51.5	-66042.6	52.73
54.4	51.6	-66042.6	53.01
